seed,heldout_condition,model,train_loss,heldout_loss
910009,recovery_probe,null_no_coupling,149.2587139023961,2.801518805758539
910009,recovery_probe,replay_only_basis,26.845072831424005,0.8721002496189344
910009,lagged_Y_to_E,full_reciprocal,3.070790104180276,1.7946465138669234
910009,lagged_Y_to_E,eta_only,82.45571176201612,3.158002333445382
910009,lagged_Y_to_E,zeta_only,35.730896451186254,37.08931621025188
910009,lagged_Y_to_E,generic_hidden_oscillator,62.5707955239262,16.35849892696447
910009,lagged_Y_to_E,null_no_coupling,115.95069209405591,36.109540614098734
910009,lagged_Y_to_E,replay_only_basis,16.821261393184084,28.280570313327612
910010,doublet_EY,full_reciprocal,1.7804747182991214,1.3371016339820165
910010,doublet_EY,eta_only,48.47408716139864,17.48529867477805
910010,doublet_EY,zeta_only,48.45149844489296,15.187645173601616
910010,doublet_EY,generic_hidden_oscillator,61.17327384612497,10.93145036418129
910010,doublet_EY,null_no_coupling,113.02796472809601,12.870786659225454
910010,doublet_EY,replay_only_basis,18.165446454742607,7.555437816877628
910010,orthogonal_trap,full_reciprocal,2.8262851172393897,0.26209434444020074
910010,orthogonal_trap,eta_only,45.35603818182037,19.86536016653365
910010,orthogonal_trap,zeta_only,54.246548850435055,10.03921775392367
910010,orthogonal_trap,generic_hidden_oscillator,45.76962850426453,22.302812378105983
910010,orthogonal_trap,null_no_coupling,88.63582353552013,37.26292785180134
910010,orthogonal_trap,replay_only_basis,21.69654073962628,3.7920781914881143
910010,counterphase,full_reciprocal,3.001473263600698,0.11610308868043973
910010,counterphase,eta_only,59.957993111711396,4.6605394842071535
910010,counterphase,zeta_only,55.23961007301446,8.111956198682243
910010,counterphase,generic_hidden_oscillator,50.249164949894805,17.4900492203951
910010,counterphase,null_no_coupling,105.32525322154555,20.573498165775913
910010,counterphase,replay_only_basis,20.352124906897718,1.4498390845629205
910010,lagged_E_to_Y,full_reciprocal,2.9835608260151636,0.17457660886629464
910010,lagged_E_to_Y,eta_only,39.83627969086143,24.554618777621656
910010,lagged_E_to_Y,zeta_only,62.08496697034324,1.8883788026961033
910010,lagged_E_to_Y,generic_hidden_oscillator,57.6473618994349,10.091852270855009
910010,lagged_E_to_Y,null_no_coupling,102.34152158324898,23.55722980407248
910010,lagged_E_to_Y,replay_only_basis,14.666431380992904,10.954040941735537
910010,recovery_probe,full_reciprocal,2.679888201394707,0.4084912602848834
910010,recovery_probe,eta_only,63.2169325597556,1.1739659087274883
