generator,trial,seed,K_true_scaled,eta_hat,zeta_hat,eta_zeta_product,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated,K_within_15_positive,K_within_10_positive,full_cv_wins,full_cv_win_rate,full_prediction_win,full_and_K_lock,non_full_cv_win_rate,cv_winner_counts_json
standard_ping_null,2,940002,0.0,-0.03488320769935856,0.09496504541488741,-0.0033126854033865357,0.08222276117895147,0.6,0.109430824405233,0.08677083423860958,False,False,False,2,0.3333333333333333,False,False,0.6666666666666667,"{""eta_only"": 3, ""full_reciprocal"": 2, ""standard_ping"": 1}"
standard_ping_null,3,940003,0.0,0.045848543942198616,-0.0389704866551604,-0.0017867400698579861,0.060385497479383446,1.0,0.10391929034107493,0.10004497868404252,False,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 5, ""full_reciprocal"": 1}"
standard_ping_null,4,940004,0.0,-0.03367844570265873,0.07632986482448571,-0.0025706712079827227,0.07243112432782824,0.1,0.05758872960651465,0.0528633564757142,True,False,False,2,0.3333333333333333,False,False,0.6666666666666667,"{""eta_only"": 4, ""full_reciprocal"": 2}"
standard_ping_null,5,940005,0.0,-0.0204879920255332,-0.0029014327617414813,5.944453128518024e-05,0.011014325670224012,0.9,0.10492374569165741,0.0797773319567518,False,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 5, ""full_reciprocal"": 1}"
standard_ping_null,6,940006,0.0,0.0072609725041268966,-0.1519049785522145,-0.0011029778725076154,0.047444443826601464,0.5,0.056143811390703374,0.04458025942763277,False,False,False,0,0.0,False,False,1.0,"{""eta_only"": 5, ""standard_ping"": 1}"
standard_ping_null,7,940007,0.0,-0.026867874437706243,0.23181938690082565,-0.006228494179477427,0.1127440136378798,0.1,0.08316234176641665,0.047635316754569335,True,False,False,0,0.0,False,False,1.0,"{""eta_only"": 5, ""standard_ping"": 1}"
standard_ping_null,8,940008,0.0,0.001343617305068804,-0.10838679639044381,-0.00014563037527116928,0.017239630143717766,1.0,0.1256699532607272,0.03275396710043519,False,False,False,4,0.6666666666666666,True,False,0.33333333333333337,"{""eta_only"": 1, ""full_reciprocal"": 4, ""zeta_only"": 1}"
standard_ping_null,9,940009,0.0,0.04067447914455252,-0.23965807686786467,-0.009747967449385527,0.1410454221915584,0.1,0.10518700521844888,0.016394466607148626,True,False,False,0,0.0,False,False,1.0,"{""eta_only"": 5, ""standard_ping"": 1}"
standard_ping_null,10,940010,0.0,0.009743174398311847,-0.05002793381728745,-0.00048743088396903454,0.03153976705778364,1.0,0.061641417411225745,0.054912416797068785,False,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 5, ""full_reciprocal"": 1}"
standard_ping_null,11,940011,0.0,-0.00587750214575184,-0.14686305550863052,0.0008631879238836475,0.04197151424389894,0.2,0.04070644515167083,0.027592583229092364,False,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 3, ""full_reciprocal"": 1, ""standard_ping"": 1, ""zeta_only"": 1}"
standard_ping_null,12,940012,0.0,-0.0073587587731734315,0.1237508668080631,-0.0009106527768116512,0.04311003426950222,1.0,0.11505169123898637,0.10299065094008411,False,False,False,2,0.3333333333333333,False,False,0.6666666666666667,"{""eta_only"": 4, ""full_reciprocal"": 2}"
standard_ping_null,13,940013,0.0,-0.0017976890359871524,-0.15306987711842837,0.00027517203983569937,0.0236975861956746,1.0,0.14176548902678024,0.09948717807052157,False,False,False,2,0.3333333333333333,False,False,0.6666666666666667,"{""eta_only"": 4, ""full_reciprocal"": 2}"
