generator,trial,seed,fold_condition,winning_model
replay_only_null,9,950009,doublet_EY,replay_only_basis
replay_only_null,9,950009,orthogonal_trap,zeta_only
replay_only_null,9,950009,counterphase,zeta_only
replay_only_null,9,950009,lagged_E_to_Y,zeta_only
replay_only_null,9,950009,recovery_probe,eta_only
replay_only_null,9,950009,lagged_Y_to_E,zeta_only
replay_only_null,10,950010,doublet_EY,replay_only_basis
replay_only_null,10,950010,orthogonal_trap,replay_only_basis
replay_only_null,10,950010,counterphase,eta_only
replay_only_null,10,950010,lagged_E_to_Y,replay_only_basis
replay_only_null,10,950010,recovery_probe,eta_only
replay_only_null,10,950010,lagged_Y_to_E,replay_only_basis
replay_only_null,11,950011,doublet_EY,replay_only_basis
replay_only_null,11,950011,orthogonal_trap,eta_only
replay_only_null,11,950011,counterphase,replay_only_basis
replay_only_null,11,950011,lagged_E_to_Y,replay_only_basis
replay_only_null,11,950011,recovery_probe,full_reciprocal
replay_only_null,11,950011,lagged_Y_to_E,replay_only_basis
replay_only_null,12,950012,doublet_EY,replay_only_basis
replay_only_null,12,950012,orthogonal_trap,eta_only
replay_only_null,12,950012,counterphase,replay_only_basis
replay_only_null,12,950012,lagged_E_to_Y,replay_only_basis
replay_only_null,12,950012,recovery_probe,full_reciprocal
replay_only_null,12,950012,lagged_Y_to_E,replay_only_basis
replay_only_null,13,950013,doublet_EY,zeta_only
replay_only_null,13,950013,orthogonal_trap,replay_only_basis
replay_only_null,13,950013,counterphase,replay_only_basis
replay_only_null,13,950013,lagged_E_to_Y,eta_only
replay_only_null,13,950013,recovery_probe,replay_only_basis
replay_only_null,13,950013,lagged_Y_to_E,replay_only_basis
replay_only_null,14,950014,doublet_EY,standard_ping
replay_only_null,14,950014,orthogonal_trap,eta_only
replay_only_null,14,950014,counterphase,zeta_only
replay_only_null,14,950014,lagged_E_to_Y,eta_only
replay_only_null,14,950014,recovery_probe,replay_only_basis
replay_only_null,14,950014,lagged_Y_to_E,replay_only_basis
replay_only_null,15,950015,doublet_EY,replay_only_basis
replay_only_null,15,950015,orthogonal_trap,eta_only
replay_only_null,15,950015,counterphase,replay_only_basis
replay_only_null,15,950015,lagged_E_to_Y,eta_only
replay_only_null,15,950015,recovery_probe,eta_only
replay_only_null,15,950015,lagged_Y_to_E,zeta_only
replay_only_null,16,950016,doublet_EY,zeta_only
replay_only_null,16,950016,orthogonal_trap,replay_only_basis
replay_only_null,16,950016,counterphase,replay_only_basis
replay_only_null,16,950016,lagged_E_to_Y,replay_only_basis
replay_only_null,16,950016,recovery_probe,replay_only_basis
replay_only_null,16,950016,lagged_Y_to_E,zeta_only
replay_only_null,17,950017,doublet_EY,replay_only_basis
replay_only_null,17,950017,orthogonal_trap,replay_only_basis
replay_only_null,17,950017,counterphase,eta_only
replay_only_null,17,950017,lagged_E_to_Y,eta_only
replay_only_null,17,950017,recovery_probe,zeta_only
replay_only_null,17,950017,lagged_Y_to_E,replay_only_basis
replay_only_null,18,950018,doublet_EY,zeta_only
replay_only_null,18,950018,orthogonal_trap,eta_only
replay_only_null,18,950018,counterphase,eta_only
replay_only_null,18,950018,lagged_E_to_Y,zeta_only
replay_only_null,18,950018,recovery_probe,zeta_only
replay_only_null,18,950018,lagged_Y_to_E,generic_hidden_tuned
replay_only_null,19,950019,doublet_EY,replay_only_basis
replay_only_null,19,950019,orthogonal_trap,zeta_only
replay_only_null,19,950019,counterphase,standard_ping
replay_only_null,19,950019,lagged_E_to_Y,zeta_only
replay_only_null,19,950019,recovery_probe,eta_only
replay_only_null,19,950019,lagged_Y_to_E,zeta_only
replay_only_null,20,950020,doublet_EY,full_reciprocal
replay_only_null,20,950020,orthogonal_trap,eta_only
replay_only_null,20,950020,counterphase,replay_only_basis
replay_only_null,20,950020,lagged_E_to_Y,zeta_only
replay_only_null,20,950020,recovery_probe,zeta_only
replay_only_null,20,950020,lagged_Y_to_E,replay_only_basis
sensory_drive_only_null,1,960001,doublet_EY,sensory_drive_only
sensory_drive_only_null,1,960001,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,1,960001,counterphase,sensory_drive_only
sensory_drive_only_null,1,960001,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,1,960001,recovery_probe,sensory_drive_only
sensory_drive_only_null,1,960001,lagged_Y_to_E,eta_only
sensory_drive_only_null,2,960002,doublet_EY,sensory_drive_only
sensory_drive_only_null,2,960002,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,2,960002,counterphase,sensory_drive_only
sensory_drive_only_null,2,960002,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,2,960002,recovery_probe,sensory_drive_only
sensory_drive_only_null,2,960002,lagged_Y_to_E,sensory_drive_only
sensory_drive_only_null,3,960003,doublet_EY,sensory_drive_only
sensory_drive_only_null,3,960003,orthogonal_trap,sensory_drive_only
sensory_drive_only_null,3,960003,counterphase,sensory_drive_only
sensory_drive_only_null,3,960003,lagged_E_to_Y,sensory_drive_only
sensory_drive_only_null,3,960003,recovery_probe,sensory_drive_only
sensory_drive_only_null,3,960003,lagged_Y_to_E,sensory_drive_only
