time_sec,cue_on,cue_impulse,cue_value,cue_index_active,cue_phase_sin,cue_phase_cos,cue_nominal_frequency_hz
79.0,0.0,0.0,0.0,0.0,0.866025403784443,-0.49999999999999234,0.3333333333333333
79.25,0.0,1.0,0.0,0.0,0.5000000000000174,-0.8660254037844286,0.3333333333333333
79.5,1.0,0.0,3.0,26.0,3.1359623787084476e-14,-1.0,0.3333333333333333
79.75,1.0,0.0,3.0,26.0,-0.4999999999999877,-0.8660254037844457,0.3333333333333333
80.0,1.0,0.0,3.0,26.0,-0.8660254037844259,-0.5000000000000221,0.3333333333333333
80.25,0.0,0.0,0.0,0.0,-1.0,-8.32821721483859e-15,0.3333333333333333
80.5,0.0,0.0,0.0,0.0,-0.8660254037844485,0.499999999999983,0.3333333333333333
80.75,0.0,0.0,0.0,0.0,-0.5000000000000268,0.8660254037844233,0.3333333333333333
81.0,0.0,0.0,0.0,0.0,-1.371852007299671e-14,1.0,0.3333333333333333
81.25,0.0,0.0,0.0,0.0,0.49999999999997835,0.8660254037844511,0.3333333333333333
81.5,0.0,0.0,0.0,0.0,0.8660254037844347,0.5000000000000068,0.3333333333333333
81.75,0.0,0.0,0.0,0.0,1.0,1.9108822931154828e-14,0.3333333333333333
82.0,0.0,0.0,0.0,0.0,0.8660254037844538,-0.4999999999999737,0.3333333333333333
82.25,0.0,1.0,0.0,0.0,0.5000000000000114,-0.866025403784432,0.3333333333333333
82.5,1.0,0.0,2.0,27.0,2.4499125789312947e-14,-1.0,0.3333333333333333
82.75,1.0,0.0,2.0,27.0,-0.4999999999999936,-0.8660254037844423,0.3333333333333333
83.0,1.0,0.0,2.0,27.0,-0.8660254037844294,-0.5000000000000161,0.3333333333333333
83.25,0.0,0.0,0.0,0.0,-1.0,-2.988942864747106e-14,0.3333333333333333
83.5,0.0,0.0,0.0,0.0,-0.866025403784445,0.49999999999998895,0.3333333333333333
83.75,0.0,0.0,0.0,0.0,-0.5000000000000208,0.8660254037844266,0.3333333333333333
84.0,0.0,0.0,0.0,0.0,-6.858022075225178e-15,1.0,0.3333333333333333
84.25,0.0,0.0,0.0,0.0,0.4999999999999843,0.8660254037844477,0.3333333333333333
84.5,0.0,0.0,0.0,0.0,0.8660254037844239,0.5000000000000254,0.3333333333333333
84.75,0.0,0.0,0.0,0.0,1.0,1.2248324933383297e-14,0.3333333333333333
85.0,0.0,0.0,0.0,0.0,0.8660254037844504,-0.4999999999999796,0.3333333333333333
85.25,0.0,1.0,0.0,0.0,0.5000000000000056,-0.8660254037844355,0.3333333333333333
85.5,1.0,0.0,9.0,28.0,1.7638627791541416e-14,-1.0,0.3333333333333333
85.75,1.0,0.0,9.0,28.0,-0.49999999999997496,-0.8660254037844531,0.3333333333333333
86.0,1.0,0.0,9.0,28.0,-0.8660254037844327,-0.5000000000000102,0.3333333333333333
86.25,0.0,0.0,0.0,0.0,-1.0,-2.3028930649699535e-14,0.3333333333333333
86.5,0.0,0.0,0.0,0.0,-0.8660254037844416,0.4999999999999949,0.3333333333333333
86.75,0.0,0.0,0.0,0.0,-0.5000000000000149,0.86602540378443,0.3333333333333333
87.0,0.0,0.0,0.0,0.0,-2.8419233507857654e-14,1.0,0.3333333333333333
87.25,0.0,0.0,0.0,0.0,0.49999999999999023,0.8660254037844443,0.3333333333333333
87.5,0.0,0.0,0.0,0.0,0.8660254037844274,0.5000000000000195,0.3333333333333333
87.75,0.0,0.0,0.0,0.0,1.0,3.3809536366015776e-14,0.3333333333333333
88.0,0.0,0.0,0.0,0.0,0.8660254037844469,-0.49999999999998557,0.3333333333333333
88.25,0.0,1.0,0.0,0.0,0.5000000000000242,-0.8660254037844247,0.3333333333333333
