cue_index,value,cue_start_sec,prior_sum,new_sum,prior_units_digit,carry_required,high_carry_load,hard9_pattern,arithmetic_compute_load,DR_gamma,WMU_theta,MAINT_theta,target_DR_gamma,target_WMU_theta,override_minus_target_WMU,compute_stall_score,latent_guess_risk
37,9,112.251251,193,202,3,1,3,0,1.747096813777288,-0.12339698170308155,-2.520070638714344,-2.4849476700430406,-0.4772830761325977,-0.7915194015892779,-1.7285512371250662,-2.0657349509343703,0.258060857213961
38,7,115.251251,202,209,2,0,0,0,0.9048193802523231,-1.0211005379886104,1.4897503626415596,-0.2918302887037848,-0.21451211555985306,0.760270240318586,0.7294801223229735,0.8251648820319682,0.561170828990791
39,10,118.251251,209,219,9,1,10,0,2.810592689455426,1.7522657170302454,0.3968418169025981,1.2307800362590826,-0.5839450135207873,-0.7204169601292383,1.1172587770318363,1.5164590989446969,0.9563064744178973
40,2,121.251251,219,221,9,1,2,0,1.6185148765270598,1.0636951017688543,0.3354883070792336,1.9227177011350758,0.49675176471252475,1.4492111740130156,-1.113722866933782,1.5337317232389198,0.8414695621741184
41,2,124.251251,221,223,1,0,0,0,0.9200560301354115,-1.1271237946527854,-1.6136255210336783,-1.5455068201347384,0.19821773329378112,3.0999901983379576,-4.713615719371636,-1.3495521630503555,0.18609679656030576
42,5,127.251251,223,228,3,0,0,0,0.9215833615521679,0.22400410718037111,-0.3582271843418977,1.6143395874047815,-0.6791302284077454,0.8854414173235448,-1.2436686016654424,0.8584520419194839,0.5726476279489455
43,4,130.251251,228,232,8,1,3,0,1.7753428146984873,0.8662003806319925,0.04573614331989023,4.1165269863227785,-1.3443964020085613,-0.5288185728220236,0.5745547161419138,2.524967268495956,0.9340347276679324
44,5,133.251251,232,237,2,0,0,0,0.9282917422630017,0.20332054128714216,-0.5403199014084343,-1.4552715361088129,0.6078710182941293,0.2765711800172904,-0.8168910814257248,-0.7657227831928732,0.2692112317173273
45,7,136.251251,237,244,7,1,5,0,2.0819075110310994,2.183257102931953,-0.23442106226793857,0.29935528856487986,0.663817273439062,1.081836313459459,-1.3162573757273976,0.5529439909062455,0.8085543905993616
46,10,139.251251,244,254,4,1,5,0,2.0868439816388937,1.012665516848606,-0.2072573020928708,1.193869736557358,-0.7486434733359162,-0.38154649640190186,0.17428919430903106,1.015017212641967,0.8601127263894963
47,2,142.251251,254,256,4,0,0,0,0.9436567425622866,1.0696047157053519,-0.9307498302536387,1.067694379930535,-1.2208912818699136,0.8037612283209266,-1.7345110585745651,0.3043864604790198,0.4690140737797808
48,9,145.251251,256,265,6,1,6,0,2.244987189262589,0.04297174570597534,-0.7767811116624861,1.538942322423816,-2.3688581490502587,-1.5524196879345864,0.7756385762721003,0.9423274026963121,0.8752116400251644
49,3,148.251251,265,268,5,0,0,0,0.9508488264300466,-1.462052138003998,-1.7269569458461231,-2.3613320509808227,0.31757072587313906,-1.7721529786233194,0.045196032777196304,-1.8064322918059612,0.14134940074328115
50,1,151.251251,268,269,8,0,0,0,0.9527587116234671,-0.37690396947520693,0.20509938235440683,0.05957399318998444,-1.0130554845580906,1.3890313218655999,-1.1839319395111931,0.3705263656780624,0.48493744563938934
51,5,154.251251,269,274,9,1,5,0,2.1033906096080726,-0.23333197900034894,0.21043861536091402,-1.6888367958738397,0.19265496477033178,1.7237080505567557,-1.5132694351958418,-0.21335143785444477,0.7012772817751823
52,7,157.251251,274,281,4,1,2,0,1.6565154002417148,-0.21105674738282748,-0.3648658472673939,1.6280263833135022,-1.208550781187825,-2.0970409362089075,1.7321750889415135,1.045709118083483,0.7899104597157103
53,10,160.251251,281,291,1,1,2,0,1.6607959637747889,0.6929950479442646,-0.3325800940909405,1.0954258331995912,-1.0573855670766572,0.22209694932637827,-0.5546770434173188,0.7966218604980226,0.7558855208076406
54,6,163.251251,291,297,1,0,0,0,0.9667302335867164,-0.3062373943806837,-0.1770568090226428,-0.53277370620071,0.3683919608652243,-0.634096287754662,0.45703947873201917,-0.11323269921499732,0.39400458372979225
55,9,166.251251,297,306,7,1,7,1,2.920194006788538,0.6789202827450682,0.7476657740508037,-0.5850627638856383,0.16491574601629044,0.8654424348187493,-0.11777666076794557,0.8113500067797172,0.934214880645441
56,9,169.251251,306,315,6,1,6,0,2.275261047700953,-1.1528679746637054,-0.6920024400916492,-0.6786497509675693,-0.7759915024393125,0.3596249057873989,-1.0516273458790482,-0.11651083360437098,0.7571476417631751
57,2,172.251251,315,317,5,0,0,0,0.9801816686822796,-0.6247733866166086,-1.9551339019979084,-2.1573739196938675,-0.1498597239412338,0.8847192452381991,-2.8398531472361075,-1.811208493675318,0.14520082271527252
58,9,175.251251,317,326,7,1,7,1,2.9312560969242627,1.757128540503274,4.842600843850762,0.7429680741921082,1.672184567062351,0.6123843288603008,4.230216514990461,3.5255984832525007,0.9921392862980639
59,1,178.251251,326,327,6,0,0,0,0.9860088605978897,0.09667885973623935,-0.4575375771813346,1.0626555039081966,-1.1830029427334026,2.832240377151085,-3.2897779543324197,0.5490611785129035,0.5305766918706919
60,10,181.251251,327,337,7,1,8,0,2.586528849739177,-0.7866973495776928,-1.5768061332857508,-1.9491104484921231,-1.5806581237111905,0.4731067337434838,-2.0499128670292346,-1.1163260784541427,0.6705721092560613
61,6,184.251251,337,343,7,1,4,0,1.9916432374567914,-0.6192715553147345,-1.0267949444014244,0.05001528752571205,-1.1866475619231143,1.641193786816125,-2.6679887312175494,0.009520980926341682,0.7104537215568374
62,3,187.251251,343,346,3,0,0,0,0.9946397308040325,0.06306429780551825,-0.3850677498073405,0.9972755201156319,-0.4554485326592045,0.7151152866698738,-1.1001830364772143,0.5547638178551538,0.5342907692017514
63,2,190.251251,346,348,6,0,0,0,0.9961184345502386,1.221490068468395,0.535883008528862,1.1353864836199359,-0.08278799191344077,1.4183486678406128,-0.8824656593117508,1.0846643547119585,0.6371634145230605
64,1,193.251251,348,349,8,0,0,0,0.9970971516777916,0.7082642991722663,0.5299231037645236,1.3675957079604228,0.5946779113470742,1.089120320789628,-0.5591972170251045,1.1980336937819211,0.6581236111688961
65,3,196.251251,349,352,9,1,3,0,1.8475844089814786,0.6455851187939821,1.3629014842232374,1.2859761937090644,1.346156303085913,0.8383024053983216,0.5245990788249159,1.7863349412115206,0.8953102642302206
66,2,199.251251,352,354,2,0,0,0,0.9990378713873476,0.24469563556166493,,,2.1843746057064934,,,,0.4252752670720475
