condition,anchor_source,anchor_metric,anchor_time_lsl,condition_offset_sec,peak_score,K_HT_topo_local,eta_E_from_topo_proxy,zeta_topo_from_E_proxy,K_sign,theta_delta_0_10,theta_delta_10_30,K_percentile_by_condition,theta_10_30_percentile_by_condition,MR_score,ENC_score,mred_quadrant,event_lock_candidate
CONTROL_1,physiology_exploratory,tsp_z,1646.2144613,260.71651480000014,0.1399917296750491,0.5518751489879098,0.5612651137260739,0.5426422783495352,1.0,-7.4411489942008435,-6.836234120925118,51.515151515151516,3.0303030303030303,-0.39681652057435657,-6.690340003395235,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1654.2144613,268.71651480000014,0.023679197799528366,0.13940867117257108,-0.21261680602477073,0.0914075324593006,-1.0,-5.044188361640388,-4.243562800974695,4.545454545454546,7.575757575757576,-0.6629676447339006,-4.296037210489039,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1675.2144613,289.71651480000014,-0.06864837419479529,0.8011111525464635,0.4885793734072028,-1.3135615493931978,-1.0,0.6261403930562892,-0.26096607583666215,72.72727272727273,39.39393939393939,-0.3598366135300155,0.14588511833655854,MR_LOW_ENC_LOW,False
CONTROL_1,physiology_exploratory,tsp_z,1685.2144613,299.71651480000014,-0.015401607358517588,0.204788969835549,-0.25086852950869487,0.16717330885798432,-1.0,-0.679046633241622,0.1620957909722129,18.181818181818183,51.515151515151516,-0.6463181309999507,-0.11523960283632138,MR_LOW_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,1893.2144613,4.007353800000146,3.2356313877233864,0.27234632264128966,-1.2414699992890252,0.059745720394944024,-1.0,-5.73411159942977,-5.451461143085222,30.0,6.0,0.8322999826520626,-5.247519260217511,MR_HIGH_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,1903.2144613,14.007353800000146,3.0029323380915627,1.5794313961562134,-1.5830421798564756,1.57582884834448,-1.0,-1.3075708602542355,-0.877065072710032,62.0,22.0,1.4087428464474816,-0.947245481544189,MR_HIGH_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,1917.2144613,28.007353800000146,1.8688523980330007,2.5233845466644276,-2.4208826561106056,2.6302264400434945,-1.0,0.0019068233599413564,0.34502462419731883,86.0,62.0,1.396115005170206,0.2503677720881243,MR_HIGH_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,1930.2144613,41.007353800000146,2.761168968125636,0.17124272495295395,0.1980398259721695,0.14807158461871173,1.0,-0.13511772444380868,-0.05518900596270528,22.0,46.0,0.5690549686160673,-0.029701770711082116,MR_HIGH_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,1946.2144613,57.007353800000146,1.8266923564817512,0.4955121044614032,0.6725483597562061,-0.36507745815746573,-1.0,0.37206742423430045,0.7021861958809412,54.0,78.0,0.3227796392389939,0.5955572204695931,MR_LOW_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,2050.2144613,161.00735380000015,1.8636343811792708,4.37505045042146,-3.9884905615608504,4.799075276297602,-1.0,-0.6487718454256808,2.1710557288870427,100.0,96.0,2.3567761131495573,1.0379636983575378,MR_HIGH_ENC_HIGH,True
TARGET_1,physiology_exploratory,meaninggamma_score,2059.2144613,170.00735380000015,2.351434799557442,3.1055280139817136,-2.6511474995825988,3.6377848637782786,-1.0,-1.6718444226206386,2.624373015802929,92.0,100.0,1.9131350999458134,0.9024352866774574,MR_HIGH_ENC_HIGH,False
TARGET_1,physiology_exploratory,meaninggamma_score,2067.2144613,178.00735380000015,2.375633242965237,0.08216624073905157,0.01108995177341054,-0.6087755163529918,-1.0,7.299861955137196,-0.8252457294128697,6.0,30.0,0.35154893061325754,2.3896525209921546,MR_LOW_ENC_HIGH,False
TARGET_1,physiology_exploratory,meaninggamma_score,2078.2144613,189.00735380000015,2.082860522026189,0.2850806706191973,-0.275117203887626,0.2954049678183233,-1.0,-5.721879811800714,-5.124317214290298,38.0,14.000000000000002,0.3270832819864151,-5.056923082910087,MR_LOW_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,2093.2144613,204.00735380000015,1.687271205030908,0.0990358361520362,-0.08112682301102214,0.12089832287652141,-1.0,-0.05196404341853311,0.14543743502424245,14.000000000000002,54.0,0.05468397961606089,0.11625431176279019,MR_LOW_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,2125.2144613,236.00735380000015,1.8166880619529573,0.46514914305960015,-0.2765835581991083,0.7822725497418158,-1.0,-0.5170538396525565,-0.264160136660302,46.0,38.0,0.30254708260124147,-0.29520838653324755,MR_LOW_ENC_LOW,False
TARGET_1,physiology_exploratory,meaninggamma_score,2152.2144613,263.00735380000015,1.9784772509726651,1.6043515756331284,-1.5212374647401161,1.6920066971110437,-1.0,1.2869261492617017,1.541132769484746,70.0,86.0,0.9668367278712078,1.4238190311028946,MR_HIGH_ENC_HIGH,False
TARGET_1,physiology_exploratory,meaninggamma_score,2170.2144613,281.00735380000015,2.5240009608229914,2.153383273035959,-1.873879443283876,2.474577293224827,-1.0,0.8320077906203879,0.3699839950095932,78.0,70.0,1.4945831411000765,0.5835214160526365,MR_HIGH_ENC_LOW,False
TARGET_1,physiology_exploratory,tsp_z,1893.2144613,4.007353800000146,2.8105004887111207,0.27234632264128966,-1.2414699992890252,0.059745720394944024,-1.0,-5.73411159942977,-5.451461143085222,30.0,6.0,0.6435385203001395,-5.247519260217511,MR_HIGH_ENC_LOW,False
TARGET_1,physiology_exploratory,tsp_z,1903.2144613,14.007353800000146,3.045226598880158,1.5794313961562134,-1.5830421798564756,1.57582884834448,-1.0,-1.3075708602542355,-0.877065072710032,62.0,22.0,1.4275218308358135,-0.947245481544189,MR_HIGH_ENC_LOW,False
TARGET_1,physiology_exploratory,tsp_z,1917.2144613,28.007353800000146,1.8378699978974133,2.5233845466644276,-2.4208826561106056,2.6302264400434945,-1.0,0.0019068233599413564,0.34502462419731883,86.0,62.0,1.3823585758672463,0.2503677720881243,MR_HIGH_ENC_LOW,False
