condition,phase_time_sec,time_lsl,lz_complexity_norm
TARGET_1,72.5,34090.4164495,0.059794705707972524
TARGET_1,73.5,34091.4164495,0.059794705707972524
TARGET_1,74.5,34092.4164495,0.059794705707972524
TARGET_1,75.5,34093.4164495,0.059794705707972524
TARGET_1,76.5,34094.4164495,0.059794705707972524
TARGET_1,77.5,34095.4164495,0.059794705707972524
TARGET_1,78.5,34096.4164495,0.059794705707972524
TARGET_1,79.5,34097.4164495,0.059794705707972524
TARGET_1,80.5,34098.4164495,0.059794705707972524
TARGET_1,81.5,34099.4164495,0.059794705707972524
TARGET_1,82.5,34100.4164495,0.059794705707972524
TARGET_1,83.5,34101.4164495,0.059794705707972524
TARGET_1,84.5,34102.4164495,0.059794705707972524
TARGET_1,85.5,34103.4164495,0.059794705707972524
TARGET_1,86.5,34104.4164495,0.059794705707972524
TARGET_1,87.5,34105.4164495,0.059794705707972524
TARGET_1,88.5,34106.4164495,0.059794705707972524
TARGET_1,89.5,34107.4164495,0.059794705707972524
TARGET_1,90.5,34108.4164495,0.059794705707972524
TARGET_1,91.5,34109.4164495,0.059794705707972524
TARGET_1,92.5,34110.4164495,0.059794705707972524
TARGET_1,93.5,34111.4164495,0.059794705707972524
TARGET_1,94.5,34112.4164495,0.059794705707972524
TARGET_1,95.5,34113.4164495,0.059794705707972524
TARGET_1,96.5,34114.4164495,0.059794705707972524
TARGET_1,97.5,34115.4164495,0.059794705707972524
TARGET_1,98.5,34116.4164495,0.059794705707972524
TARGET_1,99.5,34117.4164495,0.059794705707972524
TARGET_1,100.5,34118.4164495,0.059794705707972524
TARGET_1,101.5,34119.4164495,0.059794705707972524
TARGET_1,102.5,34120.4164495,0.059794705707972524
TARGET_1,103.5,34121.4164495,0.059794705707972524
TARGET_1,104.5,34122.4164495,0.059794705707972524
TARGET_1,105.5,34123.4164495,0.059794705707972524
TARGET_1,106.5,34124.4164495,0.059794705707972524
TARGET_1,107.5,34125.4164495,0.059794705707972524
TARGET_1,108.5,34126.4164495,0.059794705707972524
