condition,phase_time_sec,NIP_resid
CONTROL_1,120.0,-0.00044985316489234257
CONTROL_1,121.0,-0.00013671999538880338
CONTROL_1,122.0,8.190826474096158e-05
CONTROL_1,123.0,-0.00047982421606543215
CONTROL_1,124.0,-0.0003120214953893839
CONTROL_1,125.0,8.311741739593109e-06
CONTROL_1,126.0,-0.0005611238789851243
CONTROL_1,127.0,3.2223435941838136e-05
CONTROL_1,128.0,-0.00014851925353790536
CONTROL_1,129.0,-7.147383381214486e-05
CONTROL_1,130.0,-9.755228351794728e-05
CONTROL_1,131.0,-3.907407615245722e-05
CONTROL_1,132.0,-0.0002766527866038185
CONTROL_1,133.0,-5.5080157497252105e-05
CONTROL_1,134.0,0.00010759593657900125
CONTROL_1,135.0,1.335728869061582e-06
CONTROL_1,136.0,-0.00013752101143239793
CONTROL_1,137.0,-0.00043424264554743977
CONTROL_1,138.0,-0.00023184816889074665
CONTROL_1,139.0,-0.0005013120965509266
CONTROL_1,140.0,-0.0005970421512133808
CONTROL_1,141.0,0.0003127256265030794
CONTROL_1,142.0,0.00047914486564526985
CONTROL_1,143.0,0.0004834747795254755
CONTROL_1,144.0,0.0001482349879848246
CONTROL_1,145.0,0.0002634394791791011
CONTROL_1,146.0,0.0002041749802259894
CONTROL_1,147.0,-0.0001895219427183322
CONTROL_1,148.0,0.00022185584639716576
CONTROL_1,149.0,0.0001364989852511466
CONTROL_1,150.0,-6.114897927603626e-06
CONTROL_1,151.0,0.0003413836685410148
CONTROL_1,152.0,0.00018543480984678582
CONTROL_1,153.0,-0.0005895190034613705
CONTROL_1,154.0,8.633630198727563e-06
CONTROL_1,155.0,0.00013074313320420093
CONTROL_1,156.0,-0.0005154326073747186
CONTROL_1,157.0,-0.0003268153866502762
CONTROL_1,158.0,0.00018667946714205657
CONTROL_1,159.0,-0.00014502239080529716
CONTROL_1,160.0,4.8004549937627375e-05
CONTROL_1,161.0,-0.00044801296446703295
CONTROL_1,162.0,-0.0005418492168110351
CONTROL_1,163.0,-0.0004556034587222983
CONTROL_1,164.0,0.0003298622932253581
CONTROL_1,165.0,0.0003321964513104382
CONTROL_1,166.0,-9.122950330383501e-05
CONTROL_1,167.0,0.0008160315250265475
CONTROL_1,168.0,-7.111074574599012e-06
CONTROL_1,169.0,0.00020186820382566578
CONTROL_1,170.0,1.9230476128387873e-05
CONTROL_1,171.0,-6.023753819811795e-06
CONTROL_1,172.0,-0.0003737588818286728
CONTROL_1,173.0,0.000615967600533398
CONTROL_1,174.0,-0.00043288566330729493
CONTROL_1,175.0,-0.00023317447284086247
CONTROL_1,176.0,-0.00022038524456367928
CONTROL_1,177.0,-0.00037393044890729054
CONTROL_1,178.0,-0.00012481903946226036
CONTROL_1,179.0,0.00040567328272918783
CONTROL_1,180.0,-0.00034851971851636396
CONTROL_1,181.0,-1.4524025285870726e-05
CONTROL_1,182.0,-0.00013758652991071533
CONTROL_1,183.0,-0.0002631323965954138
CONTROL_1,184.0,-0.00016970360124792124
CONTROL_1,185.0,6.750861087880173e-05
CONTROL_1,186.0,-0.00041734202875673366
CONTROL_1,187.0,-0.00010763628372098053
CONTROL_1,188.0,0.0004194771273984803
CONTROL_1,189.0,-0.00022366299711953366
CONTROL_1,190.0,-0.0001697476003506421
CONTROL_1,191.0,0.00037881222686425635
CONTROL_1,192.0,-0.0003209456692229766
CONTROL_1,193.0,-0.00011315439262084643
CONTROL_1,194.0,0.0002931159984129954
CONTROL_1,195.0,-0.0005456067643740583
CONTROL_1,196.0,-0.00046163894123587163
CONTROL_1,197.0,0.0005289030798831596
CONTROL_1,198.0,0.00011445488210165642
CONTROL_1,199.0,0.0002808351170583496
CONTROL_1,200.0,0.0011594942951766102
