seed,heldout_condition,model,heldout_loss,train_loss
910005,counterphase,full_reciprocal,2.2492771432319034,1.6783332120586818
910005,counterphase,eta_only,11.327931832326998,62.77529795151306
910005,counterphase,zeta_only,12.38480080801759,51.795259773009796
910005,counterphase,generic_hidden_oscillator,27.32811708901507,47.22701965315654
910005,counterphase,null_no_coupling,29.834927344335874,103.81838121240415
910005,counterphase,replay_only_basis,2.633793533383963,19.247451360308332
910005,lagged_E_to_Y,full_reciprocal,0.5717920376500691,3.4375377954883946
910005,lagged_E_to_Y,eta_only,27.112626288246354,46.3010128989812
910005,lagged_E_to_Y,zeta_only,2.4669828213519627,62.10984950242869
910005,lagged_E_to_Y,generic_hidden_oscillator,12.499041913786364,62.13165732536367
910005,lagged_E_to_Y,null_no_coupling,26.023234897577172,107.63007365916286
910005,lagged_E_to_Y,replay_only_basis,8.78551250847594,15.21780709358375
910005,recovery_probe,full_reciprocal,0.22099700706188374,3.6386574447675653
910005,recovery_probe,eta_only,1.5640815357197726,71.84955765150778
910005,recovery_probe,zeta_only,0.8838751217307231,62.55023950545861
910005,recovery_probe,generic_hidden_oscillator,0.5119161173234414,74.04322062484816
910005,recovery_probe,null_no_coupling,1.5737203959758856,132.07958816076416
910005,recovery_probe,replay_only_basis,0.16995389543158604,18.371535332688186
910005,lagged_Y_to_E,full_reciprocal,0.20990289906771403,3.649751552761735
910005,lagged_Y_to_E,eta_only,7.620459875904982,70.63575625729133
910005,lagged_Y_to_E,zeta_only,26.662262841307054,36.77185178588228
910005,lagged_Y_to_E,generic_hidden_oscillator,11.248841837897993,63.38185740125204
910005,lagged_Y_to_E,null_no_coupling,25.434037456887058,108.21927109985297
910005,lagged_Y_to_E,replay_only_basis,17.797111611002972,12.532528356870127
910006,doublet_EY,full_reciprocal,0.16685695565663475,1.0935777328965213
910006,doublet_EY,eta_only,16.411108193428056,51.04406748519551
910006,doublet_EY,zeta_only,14.220292775422777,45.98643268657263
910006,doublet_EY,generic_hidden_oscillator,13.346320496930018,55.564533991215676
910006,doublet_EY,null_no_coupling,12.322234726929427,112.7744447886641
910006,doublet_EY,replay_only_basis,5.126516524662623,19.199088054989105
910006,orthogonal_trap,full_reciprocal,0.10641154371414702,1.226941605010093
910006,orthogonal_trap,eta_only,19.924374498362692,47.86999120200335
910006,orthogonal_trap,zeta_only,9.841030865544754,50.85293489778507
910006,orthogonal_trap,generic_hidden_oscillator,20.548014484399836,41.9757231137304
910006,orthogonal_trap,null_no_coupling,36.62354349916868,88.47313601642483
910006,orthogonal_trap,replay_only_basis,4.440054216077897,20.695294394001365
910006,counterphase,full_reciprocal,0.2833885870968264,0.9770461014563295
910006,counterphase,eta_only,5.245807046688504,61.73025739932904
910006,counterphase,zeta_only,7.744642246640634,52.274140070985204
910006,counterphase,generic_hidden_oscillator,17.195012248432125,45.06630324220005
910006,counterphase,null_no_coupling,20.18605879241192,104.9106207231816
910006,counterphase,replay_only_basis,1.6010246225216205,19.71732736466495
910006,lagged_E_to_Y,full_reciprocal,0.4144485131943969,0.9022736739335684
910006,lagged_E_to_Y,eta_only,27.534595241815488,38.930561570505056
910006,lagged_E_to_Y,zeta_only,2.243466742680946,57.96325871931446
910006,lagged_E_to_Y,generic_hidden_oscillator,9.407528995547601,53.116208602582645
910006,lagged_E_to_Y,null_no_coupling,26.750589875697507,98.34608963989601
910006,lagged_E_to_Y,replay_only_basis,11.59610444534665,14.418320162088978
910006,recovery_probe,full_reciprocal,0.2863905512001303,0.9740441373530256
910006,recovery_probe,eta_only,1.7417323848982553,64.72342442742229
910006,recovery_probe,zeta_only,0.6711792741478868,59.02654458788497
910006,recovery_probe,generic_hidden_oscillator,0.8917549303992416,61.410227515234865
910006,recovery_probe,null_no_coupling,1.5974417087935424,123.49923780679997
910006,recovery_probe,replay_only_basis,0.21279552295946813,19.24572173327775
910006,lagged_Y_to_E,full_reciprocal,0.14255183467839058,1.1178828538747654
910006,lagged_Y_to_E,eta_only,3.641350837080971,64.87168171219409
910006,lagged_Y_to_E,zeta_only,28.889179096993654,30.808544765039198
910006,lagged_Y_to_E,generic_hidden_oscillator,12.211497421354364,50.31224017677588
910006,lagged_Y_to_E,null_no_coupling,27.61681091259244,97.47986860300107
910006,lagged_Y_to_E,replay_only_basis,18.901842381931978,12.990522613609329
910007,doublet_EY,full_reciprocal,0.9547906789251964,0.5710012479074067
910007,doublet_EY,eta_only,16.467928820420358,67.3648411375436
910007,doublet_EY,zeta_only,11.481199736217079,50.953953064911765
910007,doublet_EY,generic_hidden_oscillator,26.137775729093356,65.94405483077196
910007,doublet_EY,null_no_coupling,6.866198171001444,135.07441544588394
910007,doublet_EY,replay_only_basis,2.1084966151243307,23.946053543604414
910007,orthogonal_trap,full_reciprocal,0.0650011095593728,1.4147723999118262
910007,orthogonal_trap,eta_only,26.325710716594724,57.22387716177536
910007,orthogonal_trap,zeta_only,12.655834206313408,49.97862381359873
910007,orthogonal_trap,generic_hidden_oscillator,27.13463421933777,53.85333134706964
910007,orthogonal_trap,null_no_coupling,45.54052686370923,96.40008675317614
910007,orthogonal_trap,replay_only_basis,5.45605662061138,25.42685126003759
910007,counterphase,full_reciprocal,0.2611523014203483,1.218621208050851
910007,counterphase,eta_only,5.798983029225759,76.85972279990997
910007,counterphase,zeta_only,9.782745141426732,51.955217750002085
910007,counterphase,generic_hidden_oscillator,17.940383056483185,62.33684730987111
910007,counterphase,null_no_coupling,22.63607172525476,119.30454189163062
910007,counterphase,replay_only_basis,2.9790011723965746,22.208351840540764
910007,lagged_E_to_Y,full_reciprocal,0.10701745627047236,1.4186491428421117
910007,lagged_E_to_Y,eta_only,36.998264548642325,45.004372057024696
910007,lagged_E_to_Y,zeta_only,0.5511235592712449,61.120404259229815
910007,lagged_E_to_Y,generic_hidden_oscillator,17.233500669024494,63.754464897382924
910007,lagged_E_to_Y,null_no_coupling,35.766274835810115,106.17433878107526
910007,lagged_E_to_Y,replay_only_basis,17.252252584724893,15.028700444423977
910007,recovery_probe,full_reciprocal,0.29792704492957855,1.1818464645416205
910007,recovery_probe,eta_only,3.1207573589027118,78.8818792467643
910007,recovery_probe,zeta_only,1.9364655372548425,59.66497841049373
910007,recovery_probe,generic_hidden_oscillator,1.2349012592448898,79.04232910710941
910007,recovery_probe,null_no_coupling,3.5096915355198615,138.43092208136554
910007,recovery_probe,replay_only_basis,1.0940808716964754,23.030829377301217
910007,lagged_Y_to_E,full_reciprocal,0.0671321256022303,1.4126413838689686
910007,lagged_Y_to_E,eta_only,5.039130704206968,80.15414695452266
910007,lagged_Y_to_E,zeta_only,28.94391570083264,32.65752824691594
910007,lagged_Y_to_E,generic_hidden_oscillator,11.882424204501062,68.59862923062981
910007,lagged_Y_to_E,null_no_coupling,27.621850485589984,114.3187631312954
910007,lagged_Y_to_E,replay_only_basis,20.655022316569607,16.58030275239391
910008,doublet_EY,full_reciprocal,0.45291180640013434,1.9806107830575397
910008,doublet_EY,eta_only,13.436336635267326,52.68498598818798
910008,doublet_EY,zeta_only,16.60156981091547,53.18210747111995
910008,doublet_EY,generic_hidden_oscillator,16.805693959337585,63.96459976169996
