condition,roi_group,band_hz,log10_power,z_by_band_roi
TARGET_1,task_frontal,45-50,-0.5994948346205865,-0.7905802841713604
WASHOUT_2,task_frontal,45-50,-0.5017626403902947,-0.44998288856980656
CONTEXTUAL_OVERRIDE_1,task_frontal,45-50,-0.31203551886025355,0.21121748636337553
WASHOUT_3,task_frontal,45-50,-0.49640711750198935,-0.4313188530162494
BASELINE_2_REFLECTION,task_frontal,45-50,-0.23643078069391013,0.47470053938801116
BASELINE_1,task_frontal,50-55,0.27277570076157565,2.4126532332495887
CONTROL_1,task_frontal,50-55,-0.5592818520409341,-0.5057565237256628
WASHOUT_1,task_frontal,50-55,-0.6168230419464371,-0.707580026778515
TARGET_1,task_frontal,50-55,-0.6569544446298669,-0.8483393730015553
WASHOUT_2,task_frontal,50-55,-0.553076572521319,-0.4839917452751732
CONTEXTUAL_OVERRIDE_1,task_frontal,50-55,-0.36708360087950215,0.16837142520509651
WASHOUT_3,task_frontal,50-55,-0.5538154554820399,-0.48658334874607206
BASELINE_2_REFLECTION,task_frontal,50-55,-0.2864398244155751,0.4512263590722938
BASELINE_1,visual_occipital,25-30,0.5720098134954205,2.253731243144023
CONTROL_1,visual_occipital,25-30,-0.15912337318351918,-0.5815729387007749
WASHOUT_1,visual_occipital,25-30,-0.12110874893200334,-0.4341538021120373
TARGET_1,visual_occipital,25-30,-0.26532942846668567,-0.9934356173044127
WASHOUT_2,visual_occipital,25-30,-0.19950667940520925,-0.7381777257535563
CONTEXTUAL_OVERRIDE_1,visual_occipital,25-30,0.20052395211999793,0.8131244762178841
WASHOUT_3,visual_occipital,25-30,-0.12095713150637478,-0.4335658360221955
BASELINE_2_REFLECTION,visual_occipital,25-30,0.02025532126868209,0.11405020053107005
BASELINE_1,visual_occipital,30-35,0.48780913482509636,2.30707136252069
CONTROL_1,visual_occipital,30-35,-0.26121747119618566,-0.5438977731509175
WASHOUT_1,visual_occipital,30-35,-0.25572330808402827,-0.5229857129741644
TARGET_1,visual_occipital,30-35,-0.3783667659703054,-0.9897951831785939
WASHOUT_2,visual_occipital,30-35,-0.29042495448763433,-0.6550682345539913
CONTEXTUAL_OVERRIDE_1,visual_occipital,30-35,0.06396413948151802,0.6938189221940445
WASHOUT_3,visual_occipital,30-35,-0.23426048598466273,-0.4412932298529933
BASELINE_2_REFLECTION,visual_occipital,30-35,-0.07834695831600448,0.1521498489959257
BASELINE_1,visual_occipital,35-40,0.4141953000199827,2.3147591290552874
CONTROL_1,visual_occipital,35-40,-0.3910001134553591,-0.6392759804968354
WASHOUT_1,visual_occipital,35-40,-0.34955714505761176,-0.48723340593396647
TARGET_1,visual_occipital,35-40,-0.4601957582919954,-0.8931353056428576
WASHOUT_2,visual_occipital,35-40,-0.40223799119102144,-0.6805045876553352
CONTEXTUAL_OVERRIDE_1,visual_occipital,35-40,-0.03993852941249989,0.6486700603301193
WASHOUT_3,visual_occipital,35-40,-0.35454876371714794,-0.5055462484154233
BASELINE_2_REFLECTION,visual_occipital,35-40,-0.15071392662095753,0.24226633875901127
BASELINE_1,visual_occipital,40-45,0.3144447613523207,2.3246945640022667
CONTROL_1,visual_occipital,40-45,-0.43828950992202553,-0.4638344325868419
WASHOUT_1,visual_occipital,40-45,-0.4779022419762875,-0.6105811082502447
TARGET_1,visual_occipital,40-45,-0.5871994547023255,-1.0154762466328089
WASHOUT_2,visual_occipital,40-45,-0.500293219344662,-0.6935292242540213
CONTEXTUAL_OVERRIDE_1,visual_occipital,40-45,-0.18362815579368563,0.4795669739882875
