run,phase,phase_time,NIP_density,cue_on,cue_value,cue_onset_impulse,cue_phase_sin,cue_phase_cos
Arrival_Run1,CONTROL_1,53.0,0.16418306778944236,0.0,0.0,0.0,-0.8660254037844377,-0.5000000000000017
Arrival_Run1,CONTROL_1,54.0,0.0010367683201595668,1.0,6.0,1.0,-4.408728476930472e-15,1.0
Arrival_Run1,CONTROL_1,55.0,0.0,0.0,0.0,0.0,0.8660254037844349,-0.5000000000000063
Arrival_Run1,CONTROL_1,56.0,0.0,0.0,0.0,0.0,-0.866025403784434,-0.5000000000000081
Arrival_Run1,CONTROL_1,57.0,0.0,1.0,3.0,1.0,-1.1759085194360944e-14,1.0
Arrival_Run1,CONTROL_1,58.0,0.0,0.0,0.0,0.0,0.8660254037844386,-0.5
Arrival_Run1,CONTROL_1,59.0,0.01734072996177071,0.0,0.0,0.0,-0.8660254037844374,-0.5000000000000021
Arrival_Run1,CONTROL_1,60.0,0.0,1.0,4.0,1.0,-1.9109441911791416e-14,1.0
Arrival_Run1,CONTROL_1,61.0,0.0718764195568682,0.0,0.0,0.0,0.8660254037844424,-0.4999999999999936
Arrival_Run1,CONTROL_1,62.0,0.0,0.0,0.0,0.0,-0.8660254037844337,-0.5000000000000084
Arrival_Run1,CONTROL_1,63.0,0.0,1.0,7.0,1.0,1.9619108011821185e-15,1.0
Arrival_Run1,CONTROL_1,64.0,0.0,0.0,0.0,0.0,0.866025403784446,-0.4999999999999873
Arrival_Run1,CONTROL_1,65.0,0.0,0.0,0.0,0.0,-0.8660254037844372,-0.5000000000000026
Arrival_Run1,CONTROL_1,66.0,0.0,1.0,5.0,1.0,8.82240879895365e-15,1.0
Arrival_Run1,CONTROL_1,67.0,0.0,0.0,0.0,0.0,0.8660254037844426,-0.4999999999999932
Arrival_Run1,CONTROL_1,68.0,0.03852300776556732,0.0,0.0,0.0,-0.8660254037844406,-0.4999999999999966
Arrival_Run1,CONTROL_1,69.0,0.0,1.0,9.0,1.0,-1.2738802633678827e-14,1.0
Arrival_Run1,CONTROL_1,70.0,0.0,0.0,0.0,0.0,0.8660254037844392,-0.49999999999999917
Arrival_Run1,CONTROL_1,71.0,0.0,0.0,0.0,0.0,-0.866025403784444,-0.4999999999999907
Arrival_Run1,CONTROL_1,72.0,0.0,1.0,3.0,1.0,-5.878304635907295e-15,1.0
Arrival_Run1,CONTROL_1,73.0,0.0,0.0,0.0,0.0,0.8660254037844499,-0.49999999999998046
Arrival_Run1,CONTROL_1,74.0,0.029028456709235442,0.0,0.0,0.0,-0.8660254037844333,-0.5000000000000093
Arrival_Run1,CONTROL_1,75.0,0.0,1.0,5.0,1.0,9.82193361864236e-16,1.0
Arrival_Run1,CONTROL_1,76.0,0.0,0.0,0.0,0.0,0.8660254037844465,-0.4999999999999864
Arrival_Run1,CONTROL_1,77.0,0.0,0.0,0.0,0.0,-0.8660254037844367,-0.5000000000000034
Arrival_Run1,CONTROL_1,78.0,0.0,1.0,3.0,1.0,-2.057901807076824e-14,1.0
Arrival_Run1,CONTROL_1,79.0,0.0,0.0,0.0,0.0,0.866025403784443,-0.49999999999999234
Arrival_Run1,CONTROL_1,80.0,0.017634636001369705,0.0,0.0,0.0,-0.8660254037844402,-0.49999999999999745
Arrival_Run1,CONTROL_1,81.0,0.0,1.0,2.0,1.0,-1.371852007299671e-14,1.0
Arrival_Run1,CONTROL_1,82.0,0.0,0.0,0.0,0.0,0.8660254037844538,-0.4999999999999737
Arrival_Run1,CONTROL_1,83.0,0.0,0.0,0.0,0.0,-0.8660254037844436,-0.4999999999999915
Arrival_Run1,CONTROL_1,84.0,0.0,1.0,9.0,1.0,-6.858022075225178e-15,1.0
Arrival_Run1,CONTROL_1,85.0,0.0,0.0,0.0,0.0,0.8660254037844362,-0.5000000000000042
Arrival_Run1,CONTROL_1,86.0,0.0,0.0,0.0,0.0,-0.8660254037844327,-0.5000000000000102
Arrival_Run1,CONTROL_1,87.0,0.0,1.0,1.0,1.0,-2.8419233507857654e-14,1.0
