phase,phase_time,time,feature_state_lz_proxy,complexity_z
WASHOUT_2,77.0,344585.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,78.0,344586.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,79.0,344587.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,80.0,344588.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,81.0,344589.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,82.0,344590.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,83.0,344591.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,84.0,344592.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,85.0,344593.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,86.0,344594.3188335,3.7982171714360344,0.0
WASHOUT_2,87.0,344595.3188335,3.7982171714360344,0.0
WASHOUT_2,88.0,344596.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,89.0,344597.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,90.0,344598.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,91.0,344599.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,92.0,344600.3188335,3.3027975403791605,-2.0234999877467477
WASHOUT_2,93.0,344601.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,94.0,344602.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,95.0,344603.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,96.0,344604.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,97.0,344605.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,98.0,344606.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,99.0,344607.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,100.0,344608.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,101.0,344609.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,102.0,344610.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,103.0,344611.3188335,3.4679374173981183,-1.3489999918311657
WASHOUT_2,104.0,344612.3188335,3.633077294417076,-0.6744999959155837
WASHOUT_2,105.0,344613.3188335,3.7982171714360344,0.0
WASHOUT_2,106.0,344614.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,107.0,344615.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,108.0,344616.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,109.0,344617.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,110.0,344618.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,111.0,344619.3188335,3.9633570484549923,0.674499995915582
WASHOUT_2,112.0,344620.3188335,4.12849692547395,1.348999991831164
WASHOUT_2,113.0,344621.3188335,4.293636802492909,2.0234999877467494
WASHOUT_2,114.0,344622.3188335,4.293636802492909,2.0234999877467494
CONTEXTUAL_OVERRIDE_1,1.0,344670.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,2.0,344671.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,3.0,344672.5595471,4.293636802492909,2.0234999877467494
CONTEXTUAL_OVERRIDE_1,4.0,344673.5595471,4.293636802492909,2.0234999877467494
CONTEXTUAL_OVERRIDE_1,5.0,344674.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,6.0,344675.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,7.0,344676.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,8.0,344677.5595471,4.293636802492909,2.0234999877467494
CONTEXTUAL_OVERRIDE_1,9.0,344678.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,10.0,344679.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,11.0,344680.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,12.0,344681.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,13.0,344682.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,14.0,344683.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,15.0,344684.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,16.0,344685.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,17.0,344686.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,18.0,344687.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,19.0,344688.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,20.0,344689.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,21.0,344690.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,22.0,344691.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,23.0,344692.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,24.0,344693.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,25.0,344694.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,26.0,344695.5595471,3.633077294417076,-0.6744999959155837
