phase,phase_time,time,blink_sentinel_z,ptp_median_z,blink_proxy_event
CONTROL_1,207.0,343923.5639806,-0.341292353534438,-0.0229320356127911,0
CONTROL_1,208.0,343924.5639806,-1.8383889023395683,-0.6379470938690751,0
CONTROL_1,209.0,343925.5639806,0.2511363271460157,0.3495971646197893,0
CONTROL_1,210.0,343926.5639806,-0.6990101475002438,0.6964387538301601,0
CONTROL_1,211.0,343927.5639806,-0.1288604128755058,1.8417990283031176,0
CONTROL_1,212.0,343928.5639806,-0.3783011440640383,0.7547963712587439,0
CONTROL_1,213.0,343929.5639806,-0.2888244837033685,0.1109857213209203,0
CONTROL_1,214.0,343930.5639806,-0.3320677299561322,0.0323870026663313,0
CONTROL_1,215.0,343931.5639806,0.3379360366651416,-0.3304742654958673,0
CONTROL_1,216.0,343932.5639806,0.3305032758983191,-0.3223210968147901,0
CONTROL_1,217.0,343933.5639806,-0.4677310257873545,-0.0689965334237922,0
CONTROL_1,218.0,343934.5639806,0.546330958336953,0.0110505645671836,0
CONTROL_1,219.0,343935.5639806,-0.6332264325898966,-0.508932704480423,0
CONTROL_1,220.0,343936.5639806,-0.8130765221689678,-0.594990576717404,0
CONTROL_1,221.0,343937.5639806,-0.7628189594033893,-0.5729571060626201,0
CONTROL_1,222.0,343938.5639806,-0.5157049129568646,-0.3193519191751972,0
CONTROL_1,223.0,343939.5639806,-0.6411265768125826,0.2363369179712942,0
CONTROL_1,224.0,343940.5639806,-0.3665646953347796,1.064203389537418,0
CONTROL_1,225.0,343941.5639806,-1.126384262263798,0.5234298420987596,0
CONTROL_1,226.0,343942.5639806,-0.7409075830774255,-0.0012516074212515,0
CONTROL_1,227.0,343943.5639806,-0.1148526094623518,0.3265377586017315,0
CONTROL_1,228.0,343944.5639806,0.1940165685291682,-0.5747494754913988,0
CONTROL_1,229.0,343945.5639806,0.0599438643580379,0.3803993651736147,0
CONTROL_1,230.0,343946.5639806,0.5815194856658492,2.675407720446625,0
CONTROL_1,231.0,343947.5639806,-0.502644868534865,4.128512394418363,0
CONTROL_1,232.0,343948.5639806,-0.0468919390705851,0.7373283129705293,0
CONTROL_1,233.0,343949.5639806,-0.7227612925901973,0.0077283444643464,0
CONTROL_1,234.0,343950.5639806,0.0330891494902877,0.2023543177913195,0
CONTROL_1,235.0,343951.5639806,0.2571114450346579,1.026421811056379,0
CONTROL_1,236.0,343952.5639806,-0.2850900159667976,1.4319076761056602,0
CONTROL_1,237.0,343953.5639806,-0.2233663229546854,1.7909729834237451,0
CONTROL_1,238.0,343954.5639806,-0.5276248973756141,2.48927287097922,0
CONTROL_1,239.0,343955.5639806,-0.4046948597938691,1.050875282185709,0
CONTROL_1,240.0,343956.5639806,-0.2479022175798167,1.9837945174941365,0
CONTROL_1,241.0,343957.5639806,-0.7114100202016198,0.7033487302475053,0
CONTROL_1,242.0,343958.5639806,-0.4686384442536355,0.7376632506920687,0
CONTROL_1,243.0,343959.5639806,-1.1079208530187823,-0.0455840849424901,0
CONTROL_1,244.0,343960.5639806,0.4821100361506773,-0.2442112061862316,0
CONTROL_1,245.0,343961.5639806,-1.2500446223640862,-0.0423373012634231,0
CONTROL_1,246.0,343962.5639806,-0.303729585533024,0.7036233188300286,0
CONTROL_1,247.0,343963.5639806,-0.1929287307518558,0.9101984216821926,0
CONTROL_1,248.0,343964.5639806,-0.8157689726844661,0.4509143166569951,0
CONTROL_1,249.0,343965.5639806,-1.3552288595855897,-0.4688065619486077,0
CONTROL_1,250.0,343966.5639806,-0.6973132494898793,-0.5914661869988628,0
CONTROL_1,251.0,343967.5639806,-1.3069630493439226,-0.6469873948936892,0
CONTROL_1,252.0,343968.5639806,-0.0374180280620065,-0.6563837558384984,0
CONTROL_1,253.0,343969.5639806,-0.7835668022589191,-0.4674245666651386,0
CONTROL_1,254.0,343970.5639806,-0.0739769802520313,-0.3663095842436368,0
CONTROL_1,255.0,343971.5639806,0.0611728071330785,-0.6049421497411615,0
CONTROL_1,256.0,343972.5639806,-0.6946189851387458,-0.8554997051082704,0
CONTROL_1,257.0,343973.5639806,-0.6456125418112998,-0.8659974378401237,0
CONTROL_1,258.0,343974.5639806,-0.2950843041487423,0.5860782833113893,0
CONTROL_1,259.0,343975.5639806,-1.0436900693188194,2.275866245590432,0
CONTROL_1,260.0,343976.5639806,-0.4700744133350394,2.720156607027075,0
CONTROL_1,261.0,343977.5639806,-0.4827404697198617,0.27859942002428,0
CONTROL_1,262.0,343978.5639806,-0.8919365328675053,-0.2958097200450105,0
