eta_E,zeta_E,K,K_loop,loss,delta_loss
2.25,155.0,18.6748493969831,348.75,15.557958800598104,13.147634014257342
2.25,160.0,18.973665961010276,360.0,15.126125726217799,12.715800939877038
2.25,165.0,19.267848867997692,371.25,14.792985641128304,12.382660854787542
2.25,170.0,19.557607215607945,382.5,14.558337189187178,12.148012402846415
2.25,175.0,19.84313483298443,393.75,14.421992397817748,12.011667611476987
2.25,180.0,20.12461179749811,405.0,14.383775404712708,11.973450618371945
2.25,185.0,20.402205763103165,416.25,14.443521338810417,12.033196552469654
2.25,190.0,20.676073128135332,427.5,14.601075333116016,12.190750546775256
2.25,195.0,20.946360065653412,438.75,14.856291650710293,12.445966864369531
2.25,200.0,21.213203435596427,450.0,15.209032908345224,12.798708122004463
2.25,205.0,21.47673159491453,461.25,15.659169384515991,13.248844598175229
2.25,210.0,21.737065119284157,472.5,16.206578400941176,13.796253614600413
2.25,215.0,21.99431744792277,483.75,16.85114376806493,14.440818981724167
2.25,220.0,22.24859546128699,495.0,17.59275528658854,15.18243050024778
2.25,225.0,22.5,506.25,18.431308298197468,16.020983511856706
2.25,230.0,22.74862633215465,517.5,19.366703279619177,16.956378493278415
2.25,235.0,22.994564575133836,528.75,20.39884547496015,17.98852068861939
2.25,240.0,23.2379000772445,540.0,21.52764456195571,19.11731977561495
2.5,120.0,17.320508075688775,300.0,18.099876227301625,15.689551440960862
2.5,125.0,17.67766952966369,312.5,16.988305239432567,14.577980453091804
2.5,130.0,18.027756377319946,325.0,15.977632713072435,13.567307926731672
2.5,135.0,18.371173070873837,337.5,15.067499225526742,12.65717443918598
2.5,140.0,18.708286933869708,350.0,14.257575847313191,11.847251060972429
2.5,145.0,19.03943276465977,362.5,13.547560494405303,11.13723570806454
2.5,150.0,19.364916731037084,375.0,12.937174830773072,10.526850044432312
2.5,155.0,19.685019685029527,387.5,12.426161622388225,10.015836836047463
2.5,160.0,20.0,400.0,12.014282464250845,9.603957677910085
2.5,165.0,20.310096011589902,412.5,11.701315817667952,9.290991031327192
2.5,170.0,20.615528128088304,425.0,11.487055307174995,9.076730520834232
2.5,175.0,20.91650066335189,437.5,11.371308236005325,8.960983449664564
2.5,180.0,21.213203435596427,450.0,11.35389428651601,8.943569500175247
2.5,185.0,21.50581316760657,462.5,11.43464437794043,9.024319591599667
2.5,190.0,21.79449471770337,475.0,11.61339965860816,9.203074872267397
2.5,195.0,22.079402165819616,487.5,11.890010613614782,9.479685827274022
2.5,200.0,22.360679774997898,500.0,12.26433627203781,9.854011485697047
2.5,205.0,22.638462845343543,512.5,12.736243500333225,10.325918713992465
2.5,210.0,22.9128784747792,525.0,13.305606370627872,10.895281584287112
2.5,215.0,23.18404623873926,537.5,13.972305594337149,11.561980807996388
2.5,220.0,23.45207879911715,550.0,14.736228012957916,12.325903226617154
2.5,225.0,23.717082451262844,562.5,15.597266139067342,13.186941352726581
2.5,230.0,23.979157616563597,575.0,16.55531774154664,14.144992955205879
2.5,235.0,24.238399287081645,587.5,17.610285469877105,15.199960683536343
2.5,240.0,24.49489742783178,600.0,18.762076513054833,16.35175172671407
2.75,120.0,18.16590212458495,330.0,15.280464008818848,12.870139222478088
2.75,125.0,18.540496217739157,343.75,14.188283031158548,11.777958244817786
2.75,130.0,18.907670401189037,357.5,13.197225970911902,10.786901184571139
2.75,135.0,19.267848867997692,371.25,12.30692716455232,9.896602378211558
2.75,140.0,19.621416870348583,385.0,11.517051892565359,9.106727106224596
2.75,145.0,19.96872554771586,398.75,10.827292682291134,8.416967895950371
2.75,150.0,20.310096011589902,412.5,10.237366168114685,7.827041381773923
2.75,155.0,20.645822822062577,426.25,9.747010408953294,7.336685622612532
2.75,160.0,20.97617696340303,440.0,9.355982583622868,6.945657797282107
2.75,165.0,21.301408404140794,453.75,9.064057000529134,6.653732214188373
2.75,170.0,21.621748310439653,467.5,8.871023370436822,6.46069858409606
2.75,175.0,21.937410968480304,481.25,8.776685300700724,6.366360514359962
2.75,180.0,22.24859546128699,495.0,8.780858976938111,6.37053419059735
2.75,185.0,22.555487137279922,508.75,8.883372004157545,6.4730472178167835
2.75,190.0,22.85825890132492,522.5,9.084062384188853,6.673737597848091
2.75,195.0,23.157072353818823,536.25,9.382777610149038,6.972452823808276
2.75,200.0,23.45207879911715,550.0,9.77937386183179,7.369049075491028
2.75,205.0,23.743420141167533,563.75,10.273715288478805,7.863390502138043
2.75,210.0,24.031229681395832,577.5,10.865673367497994,8.455348581157232
2.75,215.0,24.315632831575655,591.25,11.555126329430445,9.144801543089685
2.75,220.0,24.596747752497688,605.0,12.341958640906125,9.931633854565362
2.75,225.0,24.8746859276655,618.75,13.226060538524964,10.815735752184203
2.75,230.0,25.149552679918582,632.5,14.207327607600705,11.797002821259944
2.75,235.0,25.42144763777232,646.25,15.285660400544394,12.875335614203632
2.75,240.0,25.69046515733026,660.0,16.460964090372514,14.050639304031751
