trial_id,generator,generator_type,fold,model,raw_loss,K_hat_scaled,complexity_weight,selected_penalty,penalized_loss
295,colored_noise_null,null,0,null_no_coupling,1.0780312813128268,0.4309749289158967,0.0,0.04,1.0780312813128268
295,colored_noise_null,null,0,replay_only_basis,1.1055051620682073,0.4309749289158967,0.25,0.04,1.1155051620682073
295,colored_noise_null,null,0,standard_ping,1.0204035741540511,0.4309749289158967,0.2,0.04,1.0284035741540511
295,colored_noise_null,null,0,sensory_drive_only,1.1144576461519895,0.4309749289158967,0.2,0.04,1.1224576461519895
295,colored_noise_null,null,0,generic_hidden_oscillator,1.2275888208480266,0.4309749289158967,0.65,0.04,1.2535888208480266
295,colored_noise_null,null,0,colored_noise_alt,1.0584685452993263,0.4309749289158967,0.5,0.04,1.0784685452993263
295,colored_noise_null,null,1,full_reciprocal,1.0415742149975338,0.4309749289158967,1.0,0.04,1.0815742149975338
295,colored_noise_null,null,1,eta_only,1.0282657206281474,0.4309749289158967,0.35,0.04,1.0422657206281474
295,colored_noise_null,null,1,zeta_only,1.1153966655332006,0.4309749289158967,0.35,0.04,1.1293966655332006
295,colored_noise_null,null,1,null_no_coupling,1.0240908195965142,0.4309749289158967,0.0,0.04,1.0240908195965142
295,colored_noise_null,null,1,replay_only_basis,1.1195571010321397,0.4309749289158967,0.25,0.04,1.1295571010321397
295,colored_noise_null,null,1,standard_ping,1.0678301359829978,0.4309749289158967,0.2,0.04,1.0758301359829978
295,colored_noise_null,null,1,sensory_drive_only,1.1029611320529715,0.4309749289158967,0.2,0.04,1.1109611320529715
295,colored_noise_null,null,1,generic_hidden_oscillator,1.1565722076023173,0.4309749289158967,0.65,0.04,1.1825722076023173
295,colored_noise_null,null,1,colored_noise_alt,1.0942238080619247,0.4309749289158967,0.5,0.04,1.1142238080619247
295,colored_noise_null,null,2,full_reciprocal,1.0074286856853039,0.4309749289158967,1.0,0.04,1.047428685685304
295,colored_noise_null,null,2,eta_only,1.0018070774700674,0.4309749289158967,0.35,0.04,1.0158070774700674
295,colored_noise_null,null,2,zeta_only,1.0476927938046359,0.4309749289158967,0.35,0.04,1.0616927938046359
295,colored_noise_null,null,2,null_no_coupling,1.0726971079131755,0.4309749289158967,0.0,0.04,1.0726971079131755
295,colored_noise_null,null,2,replay_only_basis,1.0949887422511544,0.4309749289158967,0.25,0.04,1.1049887422511544
295,colored_noise_null,null,2,standard_ping,1.020399595769394,0.4309749289158967,0.2,0.04,1.028399595769394
295,colored_noise_null,null,2,sensory_drive_only,1.0387621662279922,0.4309749289158967,0.2,0.04,1.0467621662279922
295,colored_noise_null,null,2,generic_hidden_oscillator,1.0111808902548283,0.4309749289158967,0.65,0.04,1.0371808902548283
295,colored_noise_null,null,2,colored_noise_alt,1.058648167977378,0.4309749289158967,0.5,0.04,1.078648167977378
295,colored_noise_null,null,3,full_reciprocal,1.0605153624235377,0.4309749289158967,1.0,0.04,1.1005153624235378
295,colored_noise_null,null,3,eta_only,0.9852883186224173,0.4309749289158967,0.35,0.04,0.9992883186224173
295,colored_noise_null,null,3,zeta_only,1.0117654148609805,0.4309749289158967,0.35,0.04,1.0257654148609805
295,colored_noise_null,null,3,null_no_coupling,1.0002149432895335,0.4309749289158967,0.0,0.04,1.0002149432895335
295,colored_noise_null,null,3,replay_only_basis,1.084034413278295,0.4309749289158967,0.25,0.04,1.094034413278295
295,colored_noise_null,null,3,standard_ping,1.0928107956940343,0.4309749289158967,0.2,0.04,1.1008107956940343
295,colored_noise_null,null,3,sensory_drive_only,1.0567649163284352,0.4309749289158967,0.2,0.04,1.0647649163284352
295,colored_noise_null,null,3,generic_hidden_oscillator,1.0902378415619907,0.4309749289158967,0.65,0.04,1.1162378415619907
295,colored_noise_null,null,3,colored_noise_alt,0.8967510108513167,0.4309749289158967,0.5,0.04,0.9167510108513167
295,colored_noise_null,null,4,full_reciprocal,1.0597778762282501,0.4309749289158967,1.0,0.04,1.0997778762282502
295,colored_noise_null,null,4,eta_only,1.0488995661795397,0.4309749289158967,0.35,0.04,1.0628995661795397
295,colored_noise_null,null,4,zeta_only,0.9901438576143158,0.4309749289158967,0.35,0.04,1.0041438576143158
295,colored_noise_null,null,4,null_no_coupling,1.019736945406245,0.4309749289158967,0.0,0.04,1.019736945406245
295,colored_noise_null,null,4,replay_only_basis,1.1289944560006626,0.4309749289158967,0.25,0.04,1.1389944560006626
295,colored_noise_null,null,4,standard_ping,0.9799741767662914,0.4309749289158967,0.2,0.04,0.9879741767662914
295,colored_noise_null,null,4,sensory_drive_only,0.985013733320306,0.4309749289158967,0.2,0.04,0.993013733320306
295,colored_noise_null,null,4,generic_hidden_oscillator,1.0656148545924669,0.4309749289158967,0.65,0.04,1.0916148545924669
295,colored_noise_null,null,4,colored_noise_alt,1.0182706451661059,0.4309749289158967,0.5,0.04,1.038270645166106
295,colored_noise_null,null,5,full_reciprocal,1.0732568520685035,0.4309749289158967,1.0,0.04,1.1132568520685036
295,colored_noise_null,null,5,eta_only,0.9808162816684017,0.4309749289158967,0.35,0.04,0.9948162816684017
295,colored_noise_null,null,5,zeta_only,0.8700527084851704,0.4309749289158967,0.35,0.04,0.8840527084851704
295,colored_noise_null,null,5,null_no_coupling,0.9431843506993773,0.4309749289158967,0.0,0.04,0.9431843506993773
295,colored_noise_null,null,5,replay_only_basis,1.0777363094593044,0.4309749289158967,0.25,0.04,1.0877363094593044
295,colored_noise_null,null,5,standard_ping,0.9379999372162754,0.4309749289158967,0.2,0.04,0.9459999372162754
295,colored_noise_null,null,5,sensory_drive_only,0.9667960573987062,0.4309749289158967,0.2,0.04,0.9747960573987062
295,colored_noise_null,null,5,generic_hidden_oscillator,0.991018680752248,0.4309749289158967,0.65,0.04,1.0170186807522479
295,colored_noise_null,null,5,colored_noise_alt,1.0229472276213172,0.4309749289158967,0.5,0.04,1.0429472276213172
296,colored_noise_null,null,0,full_reciprocal,1.0526517828180602,0.22060950713397529,1.0,0.04,1.0926517828180602
296,colored_noise_null,null,0,eta_only,1.0301320414894457,0.22060950713397529,0.35,0.04,1.0441320414894457
296,colored_noise_null,null,0,zeta_only,1.0810288145421547,0.22060950713397529,0.35,0.04,1.0950288145421547
296,colored_noise_null,null,0,null_no_coupling,1.0247826826214759,0.22060950713397529,0.0,0.04,1.0247826826214759
296,colored_noise_null,null,0,replay_only_basis,1.0929308439385104,0.22060950713397529,0.25,0.04,1.1029308439385104
296,colored_noise_null,null,0,standard_ping,1.048995819380433,0.22060950713397529,0.2,0.04,1.056995819380433
296,colored_noise_null,null,0,sensory_drive_only,1.063590968442646,0.22060950713397529,0.2,0.04,1.071590968442646
296,colored_noise_null,null,0,generic_hidden_oscillator,1.1502887153673516,0.22060950713397529,0.65,0.04,1.1762887153673516
296,colored_noise_null,null,0,colored_noise_alt,1.0315817897559678,0.22060950713397529,0.5,0.04,1.0515817897559678
296,colored_noise_null,null,1,full_reciprocal,1.2623199390743132,0.22060950713397529,1.0,0.04,1.3023199390743132
296,colored_noise_null,null,1,eta_only,1.064059722412129,0.22060950713397529,0.35,0.04,1.078059722412129
296,colored_noise_null,null,1,zeta_only,1.0407975068638782,0.22060950713397529,0.35,0.04,1.0547975068638782
296,colored_noise_null,null,1,null_no_coupling,1.109019502317408,0.22060950713397529,0.0,0.04,1.109019502317408
296,colored_noise_null,null,1,replay_only_basis,1.164757382145856,0.22060950713397529,0.25,0.04,1.174757382145856
296,colored_noise_null,null,1,standard_ping,1.0549002019477733,0.22060950713397529,0.2,0.04,1.0629002019477733
296,colored_noise_null,null,1,sensory_drive_only,1.0617468194125084,0.22060950713397529,0.2,0.04,1.0697468194125084
296,colored_noise_null,null,1,generic_hidden_oscillator,1.1328013976850808,0.22060950713397529,0.65,0.04,1.1588013976850808
296,colored_noise_null,null,1,colored_noise_alt,1.0606039074724882,0.22060950713397529,0.5,0.04,1.0806039074724882
296,colored_noise_null,null,2,full_reciprocal,1.1927052827259446,0.22060950713397529,1.0,0.04,1.2327052827259446
296,colored_noise_null,null,2,eta_only,1.078794806909326,0.22060950713397529,0.35,0.04,1.092794806909326
296,colored_noise_null,null,2,zeta_only,1.032879944663416,0.22060950713397529,0.35,0.04,1.046879944663416
