trial_id,generator,generator_type,K_true_scaled,K_hat_scaled,K_abs_error_scaled,full_fold_win_rate,dominant_model,full_predictive_win,K_threshold,K_significant_raw,K_interpreted_given_full_win,final_full_plus_K_lock,K_within_15_positive,K_within_10_positive
138,replay_only_null,null,0.0,0.05408734668562784,0.05408734668562784,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
139,replay_only_null,null,0.0,0.06060765405802363,0.06060765405802363,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
140,replay_only_null,null,0.0,0.029770952768154207,0.029770952768154207,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
141,replay_only_null,null,0.0,0.0715382982971341,0.0715382982971341,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
142,replay_only_null,null,0.0,0.06551037924126593,0.06551037924126593,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
143,replay_only_null,null,0.0,0.021858101523260728,0.021858101523260728,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
144,replay_only_null,null,0.0,0.038952955159423354,0.038952955159423354,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
145,replay_only_null,null,0.0,0.06405249691979092,0.06405249691979092,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
146,replay_only_null,null,0.0,0.04363549013337339,0.04363549013337339,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
147,replay_only_null,null,0.0,0.06612481736709688,0.06612481736709688,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
148,replay_only_null,null,0.0,0.0663764727464177,0.0663764727464177,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
149,replay_only_null,null,0.0,0.05783443801078601,0.05783443801078601,0.0,eta_only,False,0.21364432081692378,False,False,False,,
150,replay_only_null,null,0.0,0.0719830804728937,0.0719830804728937,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
151,replay_only_null,null,0.0,0.06245935270573403,0.06245935270573403,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
152,replay_only_null,null,0.0,0.06884576796736497,0.06884576796736497,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
153,replay_only_null,null,0.0,0.07517603394966695,0.07517603394966695,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
154,replay_only_null,null,0.0,0.08012666993162962,0.08012666993162962,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
155,replay_only_null,null,0.0,0.00017446934319405305,0.00017446934319405305,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
156,replay_only_null,null,0.0,0.03410304950689901,0.03410304950689901,0.0,colored_noise_alt,False,0.21364432081692378,False,False,False,,
157,replay_only_null,null,0.0,0.055068034583419655,0.055068034583419655,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
158,replay_only_null,null,0.0,0.09438170631672226,0.09438170631672226,0.0,generic_hidden_oscillator,False,0.21364432081692378,False,False,False,,
159,replay_only_null,null,0.0,0.05803484243097118,0.05803484243097118,0.0,null_no_coupling,False,0.21364432081692378,False,False,False,,
160,replay_only_null,null,0.0,0.02925216141480115,0.02925216141480115,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
161,sensory_drive_only_null,null,0.0,0.028142884561693948,0.028142884561693948,0.0,standard_ping,False,0.21364432081692378,False,False,False,,
162,sensory_drive_only_null,null,0.0,0.05859910987158234,0.05859910987158234,0.0,generic_hidden_oscillator,False,0.21364432081692378,False,False,False,,
163,sensory_drive_only_null,null,0.0,0.09635080607448848,0.09635080607448848,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
164,sensory_drive_only_null,null,0.0,0.12237845839260578,0.12237845839260578,0.0,standard_ping,False,0.21364432081692378,False,False,False,,
165,sensory_drive_only_null,null,0.0,0.08727616326849823,0.08727616326849823,0.0,replay_only_basis,False,0.21364432081692378,False,False,False,,
166,sensory_drive_only_null,null,0.0,0.06955058807852572,0.06955058807852572,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
167,sensory_drive_only_null,null,0.0,0.08427840070079326,0.08427840070079326,0.0,colored_noise_alt,False,0.21364432081692378,False,False,False,,
168,sensory_drive_only_null,null,0.0,0.07930726980027258,0.07930726980027258,0.0,eta_only,False,0.21364432081692378,False,False,False,,
169,sensory_drive_only_null,null,0.0,0.1214249867654087,0.1214249867654087,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
170,sensory_drive_only_null,null,0.0,0.1245289679490877,0.1245289679490877,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
171,sensory_drive_only_null,null,0.0,0.16060788670683668,0.16060788670683668,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
172,sensory_drive_only_null,null,0.0,0.06565288252483249,0.06565288252483249,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
173,sensory_drive_only_null,null,0.0,0.024453486461980034,0.024453486461980034,0.0,standard_ping,False,0.21364432081692378,False,False,False,,
174,sensory_drive_only_null,null,0.0,0.08722221048445487,0.08722221048445487,0.0,colored_noise_alt,False,0.21364432081692378,False,False,False,,
175,sensory_drive_only_null,null,0.0,0.08406571681254939,0.08406571681254939,0.0,sensory_drive_only,False,0.21364432081692378,False,False,False,,
176,sensory_drive_only_null,null,0.0,0.05429927117641742,0.05429927117641742,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
177,sensory_drive_only_null,null,0.0,0.1089996061099228,0.1089996061099228,0.0,eta_only,False,0.21364432081692378,False,False,False,,
178,sensory_drive_only_null,null,0.0,0.06845096474427341,0.06845096474427341,0.0,zeta_only,False,0.21364432081692378,False,False,False,,
