generator,trial,seed,fold_condition,model,loss
full_reciprocal_positive_control,6,930006,orthogonal_trap,replay_only_basis,0.45249231775882753
full_reciprocal_positive_control,6,930006,orthogonal_trap,sensory_drive_only,0.7187872362519268
full_reciprocal_positive_control,6,930006,orthogonal_trap,generic_hidden_tuned,0.41335838292108706
full_reciprocal_positive_control,6,930006,orthogonal_trap,colored_noise_ar,0.22702058704420247
full_reciprocal_positive_control,6,930006,counterphase,full_reciprocal,0.11212178955195325
full_reciprocal_positive_control,6,930006,counterphase,eta_only,0.1604763579591148
full_reciprocal_positive_control,6,930006,counterphase,zeta_only,0.15740961480716528
full_reciprocal_positive_control,6,930006,counterphase,null_no_coupling,0.7162872732731739
full_reciprocal_positive_control,6,930006,counterphase,standard_ping,0.16729992199170696
full_reciprocal_positive_control,6,930006,counterphase,replay_only_basis,0.17750203030834166
full_reciprocal_positive_control,6,930006,counterphase,sensory_drive_only,0.815826937048038
full_reciprocal_positive_control,6,930006,counterphase,generic_hidden_tuned,0.1713803035048761
full_reciprocal_positive_control,6,930006,counterphase,colored_noise_ar,0.16030359043217565
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,full_reciprocal,0.08132726951478915
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,eta_only,0.05882209748913404
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,zeta_only,0.07940830546102905
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,null_no_coupling,0.6085196253762789
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,standard_ping,0.08151893447497106
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,replay_only_basis,0.10016312401296508
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,sensory_drive_only,0.5333004667769498
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,generic_hidden_tuned,0.09531634190091656
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,colored_noise_ar,0.07052346083898306
full_reciprocal_positive_control,6,930006,recovery_probe,full_reciprocal,0.16104860740932092
full_reciprocal_positive_control,6,930006,recovery_probe,eta_only,0.12897669899579142
full_reciprocal_positive_control,6,930006,recovery_probe,zeta_only,0.17016125206825888
full_reciprocal_positive_control,6,930006,recovery_probe,null_no_coupling,0.6835736126976362
full_reciprocal_positive_control,6,930006,recovery_probe,standard_ping,0.24879256744718625
full_reciprocal_positive_control,6,930006,recovery_probe,replay_only_basis,0.29102891725061736
full_reciprocal_positive_control,6,930006,recovery_probe,sensory_drive_only,0.6483698586839196
full_reciprocal_positive_control,6,930006,recovery_probe,generic_hidden_tuned,0.30330049530746706
full_reciprocal_positive_control,6,930006,recovery_probe,colored_noise_ar,0.17138632620793148
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,full_reciprocal,0.2182338707933974
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,eta_only,0.24917009922684358
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,zeta_only,0.36541513783510277
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,null_no_coupling,0.9558020672181986
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,standard_ping,0.29921578471489035
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,replay_only_basis,0.3618652006773036
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,sensory_drive_only,0.9149583474601389
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,generic_hidden_tuned,0.37707643698535404
