generator,trial,seed,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated
replay_only_null,12,950012,0.018536462180641332,1.0,0.17031623710475455,0.10393845922528783,False
replay_only_null,13,950013,0.04473606032450128,0.5,0.1184910254121114,0.027130453592365735,False
replay_only_null,14,950014,0.008038376969335638,0.9,0.19617530373447256,0.036176350342182896,False
replay_only_null,15,950015,0.032274168221913216,0.7,0.10177727263194083,0.044677534293498716,False
replay_only_null,16,950016,0.03482744225783262,0.8,0.11016784737152509,0.050658621753311935,False
replay_only_null,17,950017,0.06928348103511349,0.4,0.09125983611397302,0.05843326507917071,False
replay_only_null,18,950018,0.05240713668636825,0.8,0.14878338981710543,0.052507451456197535,False
replay_only_null,19,950019,0.03311955793842119,0.6,0.06393128069164497,0.045588710227917155,False
replay_only_null,20,950020,0.06213377098312324,0.5,0.13656382518918478,0.03137240542738987,False
sensory_drive_only_null,1,960001,0.09679365148956928,0.2,0.11258920853942254,0.05028733492043998,False
sensory_drive_only_null,2,960002,0.05734181446700169,0.2,0.05382587343345918,0.028566030070429196,False
sensory_drive_only_null,3,960003,0.11862854370845466,0.2,0.13176366718653798,0.08330401694674382,False
sensory_drive_only_null,4,960004,0.10010196864441968,0.1,0.07656338034143133,0.059209222135928406,True
sensory_drive_only_null,5,960005,0.07275050393702194,0.5,0.14195830729258,0.058020375124973475,False
sensory_drive_only_null,6,960006,0.09385833115483505,0.4,0.10765914248925047,0.06430703735663623,False
sensory_drive_only_null,7,960007,0.051581756708811315,0.6,0.1294149562591022,0.067235951557695,False
sensory_drive_only_null,8,960008,0.07763653536665804,0.1,0.07281317079406582,0.042393077897517895,True
sensory_drive_only_null,9,960009,0.04427193043716584,0.6,0.10863820293932806,0.06572954138256142,False
sensory_drive_only_null,10,960010,0.02584667540628952,0.5,0.12422049821603134,0.01877269480044518,False
sensory_drive_only_null,11,960011,0.10952116954821454,0.1,0.06345491041449776,0.05383940400252706,True
sensory_drive_only_null,12,960012,0.14138086384348367,0.1,0.10311631403109779,0.05213619270104036,True
sensory_drive_only_null,13,960013,0.0724132051539088,0.6,0.10720552925873895,0.0763141935419954,False
sensory_drive_only_null,14,960014,0.13226897018595252,0.2,0.13432648961939445,0.08409135238610727,False
sensory_drive_only_null,15,960015,0.151279044387443,0.1,0.09647731689115802,0.08239443242404292,True
sensory_drive_only_null,16,960016,0.07372633354254338,0.1,0.044760917400751866,0.03782883868812266,True
sensory_drive_only_null,17,960017,0.018720117115158183,0.7,0.06847818337022066,0.06326413546639885,False
sensory_drive_only_null,18,960018,0.022715336787748324,0.9,0.1770199097524834,0.07664122965397571,False
sensory_drive_only_null,19,960019,0.07039203230465331,0.1,0.06260376097184728,0.03676891988953178,True
sensory_drive_only_null,20,960020,0.045413502979164355,0.9,0.14637808291402565,0.05834958375180679,False
